rank,SEQPLT14,PNAME,PSTATABB,PLFUELCT,co2_intensity,pred_intensity,residual_zscore,pred_uncertainty,ensemble_score,verification_status
3590,7866,Cushaw,VA,HYDRO,0.0,0.0,0.818033263900592,0.05166462,0.10507062963937387,missing
3591,6628,Clearwater 2,OR,HYDRO,0.0,0.0050416654,0.8226313171045561,0.069399334,0.10505287150873074,missing
3592,5527,Somersworth Lower Great Dam,NH,HYDRO,0.0,0.0,0.8163926116306115,0.062554315,0.10503675610498946,missing
3593,7616,Sandow Station,TX,COAL,2130.952,398.07147,0.03192681339357923,0.812631,0.10496261846421542,verified
3594,2053,Anclote,FL,GAS,1307.102,254.94069,0.05275246880523747,0.83795244,0.10493307410137392,verified
3595,8027,Proctor,VT,HYDRO,0.0,0.0,0.8141296322399838,0.061951187,0.10492312634502471,missing
3596,7952,"Spruance Genco, LLC",VA,COAL,1519.594,387.4409,0.1782124839919367,0.8570909,0.10491751404687494,verified
3597,5798,"Lightning Dock Geothermal HI-01, LLC",NM,GEOTHERMAL,0.0,0.03474505,0.8363341570997455,0.04749433,0.10490028641473763,missing
3598,606,Centerville PH,CA,HYDRO,,1.6641638,,0.41983524,0.1048374596008241,missing
3599,6025,Deferiet,NY,HYDRO,0.0,0.0,0.7896858037541088,0.10340657,0.10477355563830773,missing
3600,8329,Park Mill,WI,HYDRO,0.0,0.0,0.809682643207779,0.08133321,0.10476894375479615,missing
3601,3841,Frederick-Carroll County Renewable Waste,MD,BIOMASS,,285.7455,,0.7737169,0.10474621879512838,missing
3602,3470,Calcasieu Plant,LA,GAS,1304.066,239.21675,0.024016154425887448,0.6555296,0.10474148755039714,verified
3603,3933,Hydro Kennebec Project,ME,HYDRO,0.0,0.0,0.8080927946986882,0.078867726,0.10472736600307431,missing
3604,830,Frankenheimer Power Plant,CA,HYDRO,0.0,0.0,0.8162717900878184,0.053033173,0.10471514070209391,missing
3605,2850,Swan Falls,ID,HYDRO,0.0,0.0,0.8058672342766048,0.07887035,0.10465656739353518,missing
3606,173,Guntersville,AL,HYDRO,0.0,0.0,0.8165953098690577,0.06394554,0.10464147540375834,missing
3607,8383,Whiting,WI,HYDRO,0.0,0.0,0.7916425475259968,0.094181396,0.1046192562676243,missing
3608,2964,"Grand Tower Energy Center, LLC",IL,GAS,1230.085,86.4964,-0.42367331637384065,0.69923,0.10460345200781442,verified
3609,4952,Gastonia Prime Power Park,NC,OIL,54351.111,0.0,-4.3590879570453165,0.31667852,0.10458443976697188,verified
3610,7092,Jefferies,SC,HYDRO,0.0,0.071711875,0.8528485634692136,0.07106567,0.10453554354384514,missing
3611,1741,White Rock/Slab Creek,CA,HYDRO,0.0,0.027176507,0.8328803285979539,0.06448888,0.10447876475400747,missing
3612,4006,Ada Dam,MI,HYDRO,0.0,0.0,0.8043268649825328,0.076824225,0.1044733211204842,missing
3613,4917,Elm City Solar Facility,NC,SOLAR,,0.0,,0.32428315,0.10443745957022721,missing
3614,6753,Toketee Falls,OR,HYDRO,0.0,0.0,0.8011449912048785,0.08852019,0.10440544547844786,missing
3615,8319,Oconto Falls Lower,WI,HYDRO,0.0,0.0,0.7757160940553257,0.10166218,0.10440224154708316,missing
3616,5923,Sun Peak Generating Station,NV,GAS,1285.92,2.7513604,-1.9262657749207692,0.4098993,0.10439412004824918,verified
3617,3034,Orchard Hills Renewable Energy Station,IL,BIOMASS,,4.92022,,0.4754066,0.10436413434647794,missing
3618,1946,Bulls Bridge,CT,HYDRO,0.0,0.0,0.8174612257074245,0.060697705,0.10436085292130937,missing
3619,5482,Dodge Falls Associates,NH,HYDRO,0.0,0.0,0.8124164094906988,0.07122473,0.10435163147150234,missing
3620,3827,CPV St Charles Energy Center,MD,GAS,,5.4887133,,0.46578088,0.1043243287254867,suspicious
3621,2011,Taftville,CT,HYDRO,0.0,0.0,0.7900569219653355,0.09182674,0.10428300362190382,missing
3622,7160,Fort Randall,SD,HYDRO,0.0,0.0,0.8152813018714197,0.086738326,0.10428038539391235,missing
3623,652,"Columbia Solar Energy, LLC",CA,SOLAR,,0.0,,0.24627464,0.10427517315548249,missing
3624,3338,Kansas River Project,KS,HYDRO,0.0,0.0,0.8095909003322896,0.06663348,0.10425477060386427,missing
3625,4678,Delta (MS),MS,GAS,,355.85696,,0.78480756,0.10423183536535562,suspicious
3626,8292,Kilbourn,WI,HYDRO,0.0,0.0,0.8060879177273006,0.06558734,0.10419847246115961,missing
3627,7506,Mont Belvieu Cogeneration Unit,TX,GAS,839.848,89.92188,-0.2262451915541971,0.76986766,0.10407058542706174,verified
3628,7215,J P Priest,TN,HYDRO,0.0,0.0,0.8182127521344513,0.083665475,0.10404425285816163,missing
3629,8011,Lower Middlebury,VT,HYDRO,0.0,0.0,0.8059546210042122,0.080944024,0.1039931353926658,missing
3630,7747,Cedar Valley Solar Plant,UT,SOLAR,,0.0,,0.34309226,0.10395589283615547,missing
3631,1867,McPhee,CO,HYDRO,0.0,0.0,0.8094781899351001,0.081109434,0.10395266402384924,missing
3632,3463,Axiall Plaquemine,LA,GAS,700.518,182.36815,0.18901656317065144,0.7115679,0.10392823081405383,verified
3633,4330,Granite Falls,MN,HYDRO,0.0,0.0,0.818159617164066,0.059257034,0.10387856729013249,missing
3634,7776,Hydro III,UT,HYDRO,0.0,0.008164046,0.824090657973172,0.0607895,0.10384941726360153,missing
3635,7678,Toledo Bend,TX,HYDRO,0.0,0.001368332,0.8209086558157822,0.046128318,0.10381833537534477,missing
3636,4715,Broadwater Power Project,MT,HYDRO,0.0,0.0,0.8169172617087164,0.06954517,0.10380309254743778,missing
3637,7187,Boone Dam,TN,HYDRO,0.0,0.017877411,0.8286017676444173,0.06544237,0.10378779472998374,missing
3638,7804,Pine View Dam,UT,HYDRO,0.0,0.0,0.8126114792124786,0.06796634,0.10377286972585659,missing
3639,7232,Old Hickory Plant,TN,GAS,,299.55988,,0.66899294,0.1037662313686177,suspicious
3640,1068,Magnolia,CA,GAS,,257.3836,,0.7233004,0.10373374117650748,suspicious
3641,1280,Ples I,CA,GEOTHERMAL,0.0,0.0,0.8154868045279426,0.07494981,0.10371503576265291,missing
3642,1913,Taylor Draw Hydroelectric Facility,CO,HYDRO,0.0,0.002038028,0.8212231897823163,0.06942458,0.10367789309662717,missing
3643,4033,Cascade Dam,MI,HYDRO,0.0,0.0,0.8048548483331194,0.06633021,0.10367138601288337,missing
3644,3069,Sangamon Wind One LLC,IL,WIND,,0.0,,0.21737652,0.10365331563498634,missing
3645,7824,Unit 4,UT,HYDRO,0.0,0.0,0.7948112696103476,0.094758615,0.10365106128019458,missing
3646,739,Donald Von Raesfeld,CA,GAS,935.666,98.96959,-0.232385030618764,0.7245277,0.10364071445744469,verified
3647,6316,Warrensburg Hydroelectric,NY,HYDRO,0.0,0.0,0.8017770594117971,0.088097796,0.1036349842990461,missing
3648,8016,Milton,VT,HYDRO,0.0,0.0,0.8079910373275249,0.06230957,0.10358745384721894,missing
3649,8259,Flambeau Crowley Rapids Project,WI,HYDRO,0.0,0.0,0.8162771211330084,0.061391797,0.10356942283618456,missing
3650,4936,Franklin (NC),NC,HYDRO,0.0,0.0,0.7999782516327614,0.074017145,0.10356267134856068,missing
3651,7775,Hydro II,UT,HYDRO,0.0,0.0,0.8010211157141133,0.08053125,0.10353910333541314,missing
3652,2283,Flint River,GA,HYDRO,0.0,0.0,0.819549416088296,0.05861089,0.10352964668463928,missing
3653,5154,Queens Creek,NC,HYDRO,0.0,0.007824494,0.8239321764759832,0.06348773,0.1035227926037076,missing
3654,7169,Oahe,SD,HYDRO,0.0,0.0,0.8195115996026359,0.06954382,0.10351253866929616,missing
3655,4805,Bear Creek Dam,NC,HYDRO,0.0,0.0,0.8201115084667572,0.066541724,0.10348445405245515,missing
3656,5099,Mountain Island,NC,HYDRO,0.0,0.0,0.8194611578682186,0.06743571,0.103477636634604,missing
3657,3932,Howland Hydro Station,ME,HYDRO,0.0,0.0,0.8115245594122336,0.07136505,0.10347709503978583,missing
3658,3078,South Main Street,IL,GAS,2207.494,249.37999,-0.20398091719581346,0.6495929,0.103395264894507,verified
3659,4739,Libby,MT,HYDRO,0.0,0.009960936,0.8249284426567873,0.048482206,0.10338251222538704,missing
3660,610,Central Utilities Plant LAX 2,CA,GAS,,185.73528,,0.5940645,0.10335998412555684,suspicious
3661,8063,Cedar Falls (WA),WA,HYDRO,0.0,0.0,0.8187538737050416,0.071029805,0.10335149476104873,missing
3662,8221,Caldron Falls,WI,HYDRO,0.0,0.0,0.8092978475159364,0.067357644,0.10327719610463074,missing
3663,4017,Beebe 1B,MI,WIND,,0.0,,0.18219468,0.10321581107457883,missing
3664,6096,Hollow Dam Power Partnership,NY,HYDRO,0.0,0.0,0.8021220757882197,0.090186544,0.10315444950416885,missing
3665,6285,Stuyvesant Falls,NY,HYDRO,0.0,0.0,0.8061875456598493,0.075299025,0.1031117173479909,missing
3666,4694,Moselle Generating Plant,MS,GAS,1072.517,304.4772,0.2289734824270086,0.76858574,0.10307390956742818,verified
3667,6760,Wallowa Falls,OR,HYDRO,0.0,0.0,0.8198090621862231,0.07926032,0.10306230116146374,missing
3668,4449,Rochester Hydro,MN,HYDRO,0.0,0.0,0.8087928279262121,0.06338548,0.10304428818297083,missing
3669,984,Kelly Ridge,CA,HYDRO,0.0,0.0,0.8084660484827149,0.074657775,0.10304422952002729,missing
3670,6301,Union Falls,NY,HYDRO,0.0,0.010156224,0.8250194038618058,0.059969224,0.10303017947778653,missing
3671,1062,Lower Tule River,CA,HYDRO,0.0,0.0031434929,0.8217419300110317,0.06928848,0.10301098472691007,missing
