Model,MAE,RMSE,R²
GBT (Tabular Only),0.3207660947331466,0.8313732834163314,0.9460465622209595
CNN (Image Only),2.094846725463867,3.2038498965378976,0.198743999004364
Late Fusion (Image + Tabular),1.5962352752685547,2.561846859198764,0.4876894950866699
